No,Oil_and_Gas_Company,Procurement_Type,Procurement Title,Description,Start_Date,End_Date,Attachment
29,Gas Solutions Ltd.,Jasa,SUCKER ROD PUMP EQUIPMENT AND SERVICES,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰SUCKER ROD PUMP EQUIPMENT AND SERVICES°¬. Perkiraan pekerjaan dimulai segera untuk jangka waktu selama 12 (dua belas) bul,2023-10-22,2023-10-29,PCJ-2704-CA.pdf
34,Gas Nexus Ltd.,Jasa,HSE LABOUR SUPPORT SERVICES,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰HSE LABOUR SUPPORT SERVICES°¬,2023-10-22,2023-10-29,PCJ-2770-CA.pdf
35,Energy Axis Ltd.,Jasa,Welding &amp; Fabrication Shop Labour Support Services,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Welding &amp; Fabrication Shop Labour Support Services °¬.,2023-10-22,2023-10-29,PCJ-2766-CA.pdf
37,PetroPulse EP EP,Jasa,Wireline Logging Equipment and Services,Calon Peserta Lelang diminta untuk mengajukan proposal jasa yang mencakup jasa Penyedia Barang/Jasa diminta menyediakan Jasa 2 (Unit) Wireline Logging Equipment dan Personil untuk jangka waktu 6 bulan,2023-10-22,2023-10-29,PCJ-2730-CA Re-Tender.pdf
38,GasMax EP,Barang,"Supply, Installation and Services of Wellhead, Split Unihead and Christmas Tree","Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Supply, Installation and Services of Wellhead, Split Unihead and Christmas Tree°¬. Perkiraan pekerjaan dimulai tahun 2016",2023-10-22,2023-10-29,PCJ-2728-CA Re-Tender.pdf
40,Petro Tech EP,Jasa,"OPERATION, ENGINEERING AND MAINTENANCE SUPPORT SERVICES","PERUSAHAAN memerlukan KONTRAKTOR untuk menyediakan jasa-jasa perawatan, perbaikan, fabrikasi, modifikasi, konstruksi dan pemasokan suku cadang untuk mendukung kegiatan Operasi PERUSAHAAN",2023-10-22,2023-10-29,0204.NOV.2016.pdf
42,Energy Ventures Ltd.,Barang,Explosive Permit Handling Services,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Explosive Permit Handling Services°¬. Perkiraan pekerjaan dimulai segera untuk jangka waktu selama 2 (dua) tahun.,2023-10-22,2023-10-29,PCJ-2755-CA RE TENDER.pdf
45,Gas Nexus Ltd.,Barang,Security Personnel Services,PERUSAHAAN memerlukan penyedia jasa-jasa tenaga kerja untuk menyediakan jasa-jasa pekerja sebagai Security Officer yang akan mendukung aktivitas operasional PERUSAHAAN,2023-10-22,2023-10-29,0203.oct.2016.pdf
48,Oil Dynamics Ltd.,Jasa,Provision of Disaster Recovery Center System,Spesifikasi ini adalah kebutuhan minimum untuk menyediakan penyewaan tempat dan perangkat keras serta close rack system dari KONTRAKTOR untuk membangun dan atau menyediakan lokasi pusat pemulihan.,2023-10-21,2023-10-28,Pengunguman Lelang Ulang - Billboard.pdf
51,Fuel Fusion Ltd.,Jasa,GTG Emergency Callout Services of GE Controls Specialist Mark V and EX 2000,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰GTG Emergency Callout Services of GE Controls Specialist Mark V and EX 2000°¬. Perkiraan pekerjaan 12 (dua belas) bulan.,2023-10-21,2023-10-28,PCJ-2749-CA.pdf
54,Energy Ventures Ltd.,Jasa,Integrated Data Storage Services,Perusahaan membutuhkan Jasa jasa pekerjaan Offsite data storage dan Management,2023-10-21,2023-10-28,0197Sep2016.pdf
57,Gas Nexus Ltd.,Jasa,IT Blanket Contract for 3 Years,Perusahaan membutuhkan Jasa jasa pemeliharaan dan penyediaan perangkat keras jaringan Telekomunikasi,2023-10-21,2023-10-28,0195.AUG.2016.pdf
61,PetroPulse EP EP,Barang,Prakualifikasi Pengadaan STUD BOLD (Project &amp; Non Project),Untuk memenuhi kebutuhan Operasional PT Bumi Siak Pusako,2023-10-21,2023-10-28,05092023192129-0001.pdf;
62,GasMax EP,Jasa,Prakualifikasi Jasa Perbaikan Shipping Tank-1 GS Zamr,"Perbaikan meliputi penggantian roof plate, aksesoris roof, beam rafter dan girder, bottom plate &amp; annular plate,center column, center drum &amp; sun plate, sand blasting dan pengecatan",2023-10-21,2023-10-28,05092023192059-0001.pdf;
63,Gas Nexus Ltd.,Jasa,Provision of ROV Services for TSB Phase 2,"Perusahaan membutuhkan Jasa jasa ROV services , terdiri dari penyediaan peralatan, pekerja, material untuk menunjang kegiatan pemboran perusahaan",2023-10-21,2023-10-28,e-proc.pdf
64,Gas Nexus Ltd.,Jasa,VSAT Link Rental and Services for Rig Jabung,"Calon Peserta Tender diminta untuk mengajukan proposal yang mencakup jasa „‰VSAT Link Rental and Services for Rig Jabung°¬ untuk mendukung kegiatan operasional Perusahaan di blok Jabung, Jambi, Sumatera",2023-10-21,2023-10-28,PCJ-2802-CA.pdf
65,Gas Nexus Ltd.,Barang,PROVIDE AQUA BOTTLE SUPPLY AND RENT DISPENSER FOR PETROCHINA OFFICE FROM LOBBY TO 27th FLOOR,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Provide Aqua Bottle Supply and Rent Dispenser for PetroChina Office,2023-10-21,2023-10-28,PCJ-2801-CA.pdf
66,Gas Nexus Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-21,2023-10-28,0003.pdf
67,Gas Nexus Ltd.,Jasa,Drilling Rig Services 750 HP,Calon Peserta Lelang diminta untuk mengajukan proposal jasa 1 (unit) unit rig pemboran di darat dengan kapasitas 750 HP untuk jangka waktu 12 (dua belas) bulan yang akan dimulai segera,2023-10-21,2023-10-28,PCJ-2798-CA.pdf
68,Gas Nexus Ltd.,Jasa,Provision of ROV Services for TSB Phase 2,"Perusahaan membutuhkan Jasa jasa ROV services , terdiri dari penyediaan peralatan, pekerja, material untuk menunjang kegiatan pemboran perusahaan",2023-10-21,2023-10-28,e-proc.pdf
69,Gas Nexus Ltd.,Jasa,VSAT Link Rental and Services for Rig Jabung,"Calon Peserta Tender diminta untuk mengajukan proposal yang mencakup jasa „‰VSAT Link Rental and Services for Rig Jabung°¬ untuk mendukung kegiatan operasional Perusahaan di blok Jabung, Jambi, Sumatera",2023-10-21,2023-10-28,PCJ-2802-CA.pdf
70,Petro Power EP,Barang,PROVIDE AQUA BOTTLE SUPPLY AND RENT DISPENSER FOR PETROCHINA OFFICE FROM LOBBY TO 27th FLOOR,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Provide Aqua Bottle Supply and Rent Dispenser for PetroChina Office,2023-10-21,2023-10-28,PCJ-2801-CA.pdf
71,Petro Power EP,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-21,2023-10-28,0003.pdf
72,Petro Power EP,Jasa,Drilling Rig Services 750 HP,Calon Peserta Lelang diminta untuk mengajukan proposal jasa 1 (unit) unit rig pemboran di darat dengan kapasitas 750 HP untuk jangka waktu 12 (dua belas) bulan yang akan dimulai segera,2023-10-21,2023-10-28,PCJ-2798-CA.pdf
73,Petro Power EP,Jasa,Provision of ROV Services for TSB Phase 2,"Perusahaan membutuhkan Jasa jasa ROV services , terdiri dari penyediaan peralatan, pekerja, material untuk menunjang kegiatan pemboran perusahaan",2023-10-21,2023-10-28,e-proc.pdf
74,Petro Power EP,Jasa,VSAT Link Rental and Services for Rig Jabung,"Calon Peserta Tender diminta untuk mengajukan proposal yang mencakup jasa „‰VSAT Link Rental and Services for Rig Jabung°¬ untuk mendukung kegiatan operasional Perusahaan di blok Jabung, Jambi, Sumatera",2023-10-21,2023-10-28,PCJ-2802-CA.pdf
75,Petro Power EP,Barang,PROVIDE AQUA BOTTLE SUPPLY AND RENT DISPENSER FOR PETROCHINA OFFICE FROM LOBBY TO 27th FLOOR,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Provide Aqua Bottle Supply and Rent Dispenser for PetroChina Office,2023-10-21,2023-10-28,PCJ-2801-CA.pdf
76,Petro Power EP,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-21,2023-10-28,0003.pdf
77,Petro Power EP,Jasa,Drilling Rig Services 750 HP,Calon Peserta Lelang diminta untuk mengajukan proposal jasa 1 (unit) unit rig pemboran di darat dengan kapasitas 750 HP untuk jangka waktu 12 (dua belas) bulan yang akan dimulai segera,2023-10-21,2023-10-28,PCJ-2798-CA.pdf
